Name,Quantity,Per Unit Cost (INR),Total Cost (INR),Total Cost (USD),Link
Nema 17 Stepper Motor,2,1109,2218,23.35,https://robu.in/product/42hs60-1684-nema17-7-2kg-cm-stepper-motor-round-type/
DRV8825 Stepper motor driver,2,96,192,2.02,https://robu.in/product/drv8825-stepper-motor-driver-aluminum-heat-sink-good-quality/
 Nema 17 Mount Straight,2,201,402,4.23,https://robu.in/product/easymech-bracket-for-nema-17-stepper-motor-2/
DC-DC 12V-3.3V,1,49,49,0.52,https://robu.in/product/dc-dc-voltage-converter-multi-output-power-supply-module-12v-3-3v5v12v/
12V 5A powersupply,1,449,449,4.73,https://robu.in/product/orange-ac-100-240v-to-dc-12v-5a-60w-power-adapter/
RTL SDR V3,1,7678,7678,80.82,https://www.amazon.in/gp/product/B0BMKB3L47/ref=ox_sc_act_image_1?smid=A1YZ9MMK17G6RH&th=1
Low Noise Amplifier,1,205,205,2.16,https://robu.in/product/0-1-2000mhz-rf-wideband-amplifier-gain-30db-low-noise-amplifier-lna-board-module/
22 Gague jumper wire ,2,149,298,3.14,https://www.amazon.in/gp/product/B0B4WPX449/ref=ox_sc_act_title_2?smid=AJ6SIZC8YQDZX&psc=1
Perf Board,2,118,236,2.48,https://www.amazon.in/gp/product/B09ZB4W17X/ref=ox_sc_act_title_1?smid=A31PUIOPHJ56Y3&psc=1
ESP 32,1,549,549,5.78,https://www.amazon.in/gp/product/B0D6GDV77P/ref=ox_sc_act_title_4?smid=AJ6SIZC8YQDZX&psc=1
Coaxial Cable,1,294,294,3.09,https://www.amazon.in/gp/product/B08254RHT3/ref=ox_sc_act_title_6?smid=A3G972E7L8N6MV&psc=1
6008 Ball Bearing,2,179,358,3.77,https://www.amazon.in/gp/product/B08LPR978X/ref=ox_sc_act_title_7?smid=A1ATPDR7BUKQN6&psc=1
3m USB A to USB A ,1,399,399,4.2,https://www.amazon.in/Storite-3-0-Extension-Transfer-Keyboard/dp/B00OFM6PFS/ref=srd_d_vsims_d_sccl_2_2/521-1981002-0848903?pd_rd_w=YYs8G&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=45MVWH7TCV3EFSNK0TGF&pd_rd_wg=OPtsm&pd_rd_r=cdff056c-0ccf-4b41-b96e-eeab9b3911db&pd_rd_i=B00OFM6PFS&th=1
SMA Edge connector for DIY feed,1,99,99,1.1,https://www.amazon.in/Panel-Straight-Connector-Coaxial-Adapter/dp/B0965PSMSW/ref=sr_1_11?crid=K4K372VZLKRT&dib=eyJ2IjoiMSJ9.zapbte-I4E0YmV7nWSn-LJgEgSjFG5twdB3JbQwsVH7hftwGAPRKyDA1YTot9Qw04bnoE_RsyctxmZNRQSZGSU5s9xtkkIc0tb3tcAf4QGvryM43F81JnFxy-V1f7H0JWBhItqwSrjBgIQMKfvelENy4T6Z2r5asSDQE4wT3uUFUXpxOG_0Zv1gI_YULik8_quc1X11hPXyiRBITKOlJShkw-eFYqagFuSoo3_GqsyA.0p_AYy4ywc9mgCqi_41zGsQvj6B4ewY84YGO1kW_qcw&dib_tag=se&keywords=sma%2Bmale%2Bconnector&qid=1788887029&sprefix=Sma%2B%2Caps%2C330&sr=8-11&th=1
M4 Hex Nut,37,-,-,-,Self Funded
M4 Bolt 35mm,14,-,-,-,Self Funded
M4 Bolt 25mm,4,-,-,-,Self Funded
M4 Bolt 40mm,2,-,-,-,Self Funded
Limit switches,2,15,30,0.4,https://robu.in/product/limit-switch-kv-05/
100 uF Capacitors,5,2.36,11.8,0.2,https://robu.in/product/100-uf-35v-through-hole-electrolytic-capacitor-dip-pack-of-10/
100nF Capacitor,10,1.25,12.5,0.2,https://robu.in/product/100nf-50v-disc-capacitor/
